,username,Popularity_score_norm,Reach_score_norm,degree_centrality_norm,eigenvector_centrality_norm,closeness_centrality_norm,pagerank_norm,occurrence_norm,final_score,Ranking
58,nlw,0.0008835243319649667,0.0004170512705693707,0.859504132231405,0.43870673741701083,0.3382352941176472,0.512310045940365,0.43137254901960786,2.58142933432857,0.62
59,HesterPeirce,0.0003117000128234292,0.0007388586774796924,0.33884297520661155,0.39796564346333746,0.28776978417266197,0.22953750640974274,0.35294117647058826,1.608107644413245,0.19
60,jgarzik,0.00013970660537658533,0.0007796735016241397,0.537190082644628,0.40493300755415845,0.30434782608695654,0.24281705935665604,0.37254901960784315,1.862756375357243,0.28
61,punk6529,0.007895355543015018,0.0036659057080741823,0.47933884297520646,0.3175146921719246,0.22377622377622375,0.20774071783680367,0.29411764705882354,1.5340493850700712,0.17
62,jackmallers,0.0012996984719020731,0.0029733798779986386,0.4545454545454544,0.44784014364798913,0.3211678832116787,0.2686734671011621,0.4117647058823529,1.9082647327385378,0.3
63,gladstein,0.00404025457215301,0.0017316762607470575,0.6611570247933883,0.5362800330288756,0.4274809160305341,0.30401084572489884,0.5098039215686274,2.4445046719792245,0.58
64,jchervinsky,0.0014910112143231597,0.0009761429516355277,0.5950413223140495,0.5117250505552937,0.39097744360902226,0.31059063530618963,0.47058823529411764,2.281389841244631,0.51
65,cdixon,0.0015925092347050074,0.008040863494036998,0.6776859504132232,0.6557261425537145,0.5645161290322579,0.5265533366045573,0.6470588235294118,3.081173754861907,0.76
66,fredwilson,7.035337788215498e-05,0.006366008961881857,0.3636363636363636,0.5735101960172009,0.4651162790697674,0.40077373511552045,0.5490196078431373,2.358492544021754,0.54
67,natbrunell,0.0036269185871701153,0.0022726372939599095,0.6115702479338843,0.22516013679319505,0.16326530612244874,0.15653538928478494,0.21568627450980393,1.378116910525247,0.14
68,BrianBrooksUS,0.00021372584887865593,0.0008481526339764687,0.09917355371900825,0.1661807049008654,0.10596026490066224,0.08962871121169508,0.1568627450980392,0.6188678583131253,0.03
69,Scaramucci,0.04459896170594577,0.00938680674395924,0.47107438016528924,0.1671928168178654,0.10596026490066224,0.11197865190325348,0.13725490196078433,1.0474467841977597,0.08
70,jerrybrito,0.0002030832749760121,0.0004720645713702937,0.5454545454545454,0.6427125872640312,0.5238095238095236,0.43260836339532105,0.6078431372549019,2.75310330502467,0.66
71,ethereumJoseph,0.00010145947503221935,0.0026241863825405888,0.7355371900826446,0.49685980130001045,0.39097744360902226,0.3074205811006513,0.47058823529411764,2.4041088972440194,0.55
72,katie_haun,9.59373465223077e-05,0.0009307375030985555,0.47933884297520646,0.4589282285541705,0.35555555555555557,0.3024634464035969,0.43137254901960786,2.0286852973577583,0.43
73,roasbeef,5.87877442910432e-05,0.0002749088461971949,0.4132231404958678,0.45360539742276945,0.3211678832116787,0.35882362688099706,0.39215686274509803,1.939310607346899,0.37
74,morcosa,2.957848408321519e-06,5.715559218410121e-05,0.47933884297520646,0.4447264225844402,0.28776978417266197,0.34420266302660274,0.35294117647058826,1.909039002670092,0.31
75,VinnyLingham,0.000526103448374499,0.0018970871226966972,0.7685950413223139,0.29948070586328707,0.2083333333333331,0.19726022913948543,0.27450980392156865,1.7506023041510592,0.24
76,naval,0.01852270808996087,0.017775639566949615,0.08264462809917353,0.5194653430676852,0.44104891134085217,0.34588437907302,0.5098039215686274,1.9351455308062688,0.36
77,muneeb,0.000906055103174033,0.0007608473046204523,0.7768595041322314,0.5338953901995807,0.40909090909090906,0.3057587127497172,0.5098039215686274,2.53707534014886,0.6
